mesa,A540,A500,A520,P13,A590,A560,A570,blancos,nulos
5138,73,118,29,3,2,11,1,5,15
5136,83,97,34,4,2,12,2,8,5
5140,72,106,40,7,5,8,2,1,7
5135,66,107,35,2,1,17,5,3,7
4803,112,21,34,0,0,0,2,29,0
5040,81,83,42,3,2,12,7,4,12
5061,92,104,35,4,3,8,2,7,0
5197,91,82,47,6,1,22,3,2,11
5039,106,81,34,2,2,7,6,10,10
5191,72,89,42,9,2,18,5,4,13
4837,115,93,42,3,1,12,3,3,6
5001,88,91,36,4,1,15,2,14,0
4941,79,88,15,4,1,7,3,25,15
4942,71,73,20,3,1,7,5,17,24
4943,74,79,36,4,0,8,5,11,15
4944,95,65,25,9,1,4,1,10,14
4940,101,68,28,5,2,9,3,18,10
4987,94,76,35,7,2,12,4,17,0
4939,106,75,19,6,2,6,1,14,5
4988,96,84,28,8,2,8,2,15,0
4972,114,82,30,5,1,1,3,6,1
4964,94,79,24,4,3,9,3,9,4
4963,109,88,11,3,1,3,1,3,8
4989,70,101,29,7,3,8,3,14,0
4990,108,73,29,7,3,7,4,9,0
4970,95,92,23,6,3,10,3,5,7
4962,119,68,28,3,2,4,2,4,5
4961,88,92,33,3,0,9,4,5,2
5184,98,37,51,1,1,4,6,33,2
5185,121,35,43,0,1,7,1,12,8
4971,118,71,31,7,2,5,1,9,3
5183,99,46,39,1,3,3,1,19,4
5182,100,48,51,1,0,6,1,19,2
4936,102,70,27,7,1,6,4,19,13
4931,80,92,28,4,1,15,1,9,5
4960,125,63,18,8,0,6,1,4,12
4934,88,82,29,4,0,6,8,15,17
4959,113,76,24,4,2,4,0,4,4
4932,62,87,35,4,4,10,0,18,9
4935,89,60,28,5,2,8,2,18,12
4933,90,76,41,7,1,3,3,9,9
4977,104,72,22,6,4,5,1,7,16
4976,114,74,35,1,1,6,0,4,5
4975,121,78,25,8,0,5,3,2,10
4978,100,96,30,1,5,9,2,0,5
4930,86,80,21,7,1,2,1,8,10
